fecha,tipo,fondo,cuotapartes,valor_cp,tenencia,resultado
2020-11-10T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.670.068,26.47,2.08
2020-11-10T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.790.477,26.94,2.19
2020-11-10T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,8.142.169,1359.64,-40.36
2020-11-10T03:00:00.000Z,,Superfondo Renta $,19.077,4.853.704,92.57,1.53
2020-11-09T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.668.945,26.47,2.08
2020-11-09T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.664.454,26.4,2.01
2020-11-09T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.782.633,26.94,2.19
2020-11-09T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.767.654,26.89,2.14
2020-11-09T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.859.686,1359.64,-40.36
2020-11-09T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.738.813,1338.73,-61.27
2020-11-09T03:00:00.000Z,,Superfondo Renta $,19.077,4.852.629,92.57,1.53
2020-11-09T03:00:00.000Z,,Superfondo Renta $,19.077,4.842.635,92.38,1.34
2020-11-06T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.664.454,26.4,2.01
2020-11-06T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.767.654,26.89,2.14
2020-11-06T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.738.813,1338.73,-61.27
2020-11-06T03:00:00.000Z,,Superfondo Renta $,19.077,4.842.635,92.38,1.34
2020-11-05T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.663.333,26.38,1.99
2020-11-05T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.762.165,26.87,2.12
2020-11-05T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.373.039,1275.45,-124.55
2020-11-05T03:00:00.000Z,,Superfondo Renta $,19.077,4.813.965,91.83,0.79
2020-11-04T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.662.211,26.36,1.97
2020-11-04T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,875.042,26.84,2.09
2020-11-04T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.421.969,1283.92,-116.08
2020-11-04T03:00:00.000Z,,Superfondo Renta $,19.077,4.779.776,91.18,0.14
2020-11-03T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.661.091,26.35,1.96
2020-11-03T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.715.226,26.73,1.98
2020-11-03T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.263.911,1256.58,-143.42
2020-11-03T03:00:00.000Z,,Superfondo Renta $,19.077,4.743.873,90.49,-0.55
2020-11-02T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.657.747,26.29,1.9
2020-11-02T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.713.732,26.73,1.98
2020-11-02T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,6.930.141,1198.84,-201.16
2020-11-02T03:00:00.000Z,,Superfondo Renta $,19.077,4.756.273,90.73,-0.31
2020-10-30T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.656.631,26.28,1.89
2020-10-30T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.702.784,26.69,1.94
2020-10-30T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.111.063,1230.14,-169.86
2020-10-30T03:00:00.000Z,,Superfondo Renta $,19.077,4.722.058,90.08,-0.96
2020-10-29T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.655.544,26.26,1.87
2020-10-29T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.689.944,26.65,1.9
2020-10-29T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,690.149,1193.88,-206.12
2020-10-29T03:00:00.000Z,,Superfondo Renta $,19.077,4.722.449,90.09,-0.95
2020-10-28T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.654.463,26.24,1.85
2020-10-28T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.683.909,26.63,1.88
2020-10-28T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.383.253,1277.22,-122.78
2020-10-28T03:00:00.000Z,,Superfondo Renta $,19.077,4.734.671,90.32,-0.72
2020-10-27T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.653.383,26.22,1.83
2020-10-27T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,867.763,26.61,1.86
2020-10-27T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,774.388,1339.61,-60.39
2020-10-27T03:00:00.000Z,,Superfondo Renta $,19.077,4.767.368,90.94,-0.1
2020-10-26T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.650.148,26.17,1.78
2020-10-26T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.671.602,26.6,1.85
2020-10-26T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,8.396.035,1452.42,52.42
2020-10-26T03:00:00.000Z,,Superfondo Renta $,19.077,4.804.696,91.65,0.61
2020-10-23T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.649.072,26.16,1.77
2020-10-23T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.671.555,26.6,1.85
2020-10-23T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,8.283.748,1433,33
2020-10-23T03:00:00.000Z,,Superfondo Renta $,19.077,4.803.765,91.64,0.6
2020-10-22T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.647.995,26.14,1.75
2020-10-22T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.647.064,26.52,1.77
2020-10-22T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,803.285,1389.6,-10.4
2020-10-22T03:00:00.000Z,,Superfondo Renta $,19.077,4.808.521,91.73,0.69
2020-10-21T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.646.919,26.12,1.73
2020-10-21T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.642.043,26.51,1.76
2020-10-21T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.930.543,1371.9,-28.1
2020-10-21T03:00:00.000Z,,Superfondo Renta $,19.077,4.793.004,91.43,0.39
2020-10-20T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.645.855,26.1,1.71
2020-10-20T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.626.235,26.46,1.71
2020-10-20T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.821.987,1353.12,-46.88
2020-10-20T03:00:00.000Z,,Superfondo Renta $,19.077,4.782.426,91.23,0.19
2020-10-19T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.642.726,26.05,1.66
2020-10-19T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.613.505,26.42,1.67
2020-10-19T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.798.116,1348.99,-51.01
2020-10-19T03:00:00.000Z,,Superfondo Renta $,19.077,4.812.051,91.79,0.75
2020-10-16T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.641.738,26.04,1.65
2020-10-16T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.603.638,26.39,1.64
2020-10-16T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.690.739,1330.41,-69.59
2020-10-16T03:00:00.000Z,,Superfondo Renta $,19.077,4.803.921,91.64,0.6
2020-10-15T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,164.075,26.02,1.63
2020-10-15T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.604.379,26.39,1.64
2020-10-15T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.512.721,1299.62,-100.38
2020-10-15T03:00:00.000Z,,Superfondo Renta $,19.077,4.819.509,91.94,0.9
2020-10-14T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.639.769,26.01,1.62
2020-10-14T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.616.112,26.43,1.68
2020-10-14T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.331.385,1268.25,-131.75
2020-10-14T03:00:00.000Z,,Superfondo Renta $,19.077,4.800.345,91.57,0.53
2020-10-13T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.635.827,25.95,1.56
2020-10-13T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.608.569,26.4,1.65
2020-10-13T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.282.352,1259.77,-140.23
2020-10-13T03:00:00.000Z,,Superfondo Renta $,19.077,4.833.297,92.2,1.16
2020-10-12T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.635.827,25.95,1.56
2020-10-12T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.608.569,26.4,1.65
2020-10-12T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.282.352,1259.77,-140.23
2020-10-12T03:00:00.000Z,,Superfondo Renta $,19.077,4.833.297,92.2,1.16
2020-10-09T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.634.899,25.93,1.54
2020-10-09T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.612.709,26.42,1.67
2020-10-09T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.198.919,1245.33,-154.67
2020-10-09T03:00:00.000Z,,Superfondo Renta $,19.077,4.854.456,92.6,1.56
2020-10-08T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.633.979,25.92,1.53
2020-10-08T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.596.303,26.37,1.62
2020-10-08T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.040.929,1218,-182
2020-10-08T03:00:00.000Z,,Superfondo Renta $,19.077,4.846.703,92.46,1.42
2020-10-07T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.633.979,25.92,1.53
2020-10-07T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.633.064,25.9,1.51
2020-10-07T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.596.303,26.37,1.62
2020-10-07T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.599.187,26.37,1.62
2020-10-07T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.040.929,1218,-182
2020-10-07T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.007.205,1212.17,-187.83
2020-10-07T03:00:00.000Z,,Superfondo Renta $,19.077,4.846.703,92.46,1.42
2020-10-07T03:00:00.000Z,,Superfondo Renta $,19.077,4.848.511,92.49,1.45
2020-10-06T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.633.064,25.9,1.51
2020-10-06T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.632.149,25.89,1.5
2020-10-06T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.599.187,26.37,1.62
2020-10-06T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.594.719,26.36,1.61
2020-10-06T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.007.205,1212.17,-187.83
2020-10-06T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.080.766,1224.89,-175.11
2020-10-06T03:00:00.000Z,,Superfondo Renta $,19.077,4.848.511,92.49,1.45
2020-10-06T03:00:00.000Z,,Superfondo Renta $,19.077,4.866.226,92.83,1.79
2020-10-05T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.629.433,25.84,1.45
2020-10-05T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.588.257,26.34,1.59
2020-10-05T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,6.976.306,1206.82,-193.18
2020-10-05T03:00:00.000Z,,Superfondo Renta $,19.077,4.866.538,92.83,1.79
2020-10-02T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.628.591,25.83,1.44
2020-10-02T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,158.638,1.629.433,25.83,1.44
2020-10-02T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.578.335,26.32,1.57
2020-10-02T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,30.676,8.588.257,26.32,1.57
2020-10-02T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,6.920.716,1197.21,-202.79
2020-10-02T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,6.976.306,1197.21,-202.79
2020-10-02T03:00:00.000Z,,Superfondo Renta $,19.077,4.828.828,92.12,1.08
2020-10-02T03:00:00.000Z,,Superfondo Renta $,19.077,4.866.538,92.12,1.08
2020-10-01T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.628.591,35825.83,1998.8
2020-10-01T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.627.751,35807.35,1980.32
2020-10-01T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.578.335,365826.31,25826.31
2020-10-01T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.575.172,365691.42,25691.42
2020-10-01T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,6.920.716,1197.21,-202.79
2020-10-01T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,6.676.616,1154.98,-245.02
2020-10-01T03:00:00.000Z,,Superfondo Renta $,20.976.546,4.828.828,101292.11,4037.87
2020-10-01T03:00:00.000Z,,Superfondo Renta $,20.976.546,4.815.012,101002.3,3748.06
2020-09-30T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.626.898,35788.59,1961.56
2020-09-30T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,857.358,365623.54,25623.54
2020-09-30T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,6.772.083,1171.5,-228.5
2020-09-30T03:00:00.000Z,,Superfondo Renta $,20.976.546,4.810.938,100916.85,3662.61
2020-09-28T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.623.492,35713.66,1886.63
2020-09-28T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.553.492,364766.87,24766.87
2020-09-28T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,6.746.835,1167.13,-232.87
2020-09-28T03:00:00.000Z,,Superfondo Renta $,20.976.546,4.798.206,100649.78,3395.54
2020-09-25T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.622.635,35694.81,1867.78
2020-09-25T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.547.281,364501.99,24501.99
2020-09-25T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,6.657.759,1151.72,-248.28
2020-09-25T03:00:00.000Z,,Superfondo Renta $,20.976.546,4.759.876,99845.74,2591.5
2020-09-24T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.621.795,35676.33,1849.3
2020-09-24T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.547.889,364527.93,24527.93
2020-09-24T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,6.530.683,1129.74,-270.26
2020-09-24T03:00:00.000Z,,Superfondo Renta $,20.976.546,4.781.703,100303.6,3049.36
2020-09-23T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.620.949,35657.72,1830.69
2020-09-23T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.545.323,364418.5,24418.5
2020-09-23T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,6.616.644,1144.61,-255.39
2020-09-23T03:00:00.000Z,,Superfondo Renta $,20.976.546,4.802.594,100741.82,3487.58
2020-09-22T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.620.094,35638.91,1811.88
2020-09-22T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.620.949,35638.91,1811.88
2020-09-22T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.538.063,364108.89,24108.89
2020-09-22T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.545.323,364108.89,24108.89
2020-09-22T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,6.528.726,1129.4,-270.6
2020-09-22T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,6.616.644,1129.4,-270.6
2020-09-22T03:00:00.000Z,,Superfondo Renta $,20.976.546,4.785.204,100377.04,3122.8
2020-09-22T03:00:00.000Z,,Superfondo Renta $,20.976.546,4.802.594,100377.04,3122.8
2020-09-21T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.617.585,35583.72,1756.69
2020-09-21T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.525.304,363564.78,23564.78
2020-09-21T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,6.610.956,1143.62,-256.38
2020-09-21T03:00:00.000Z,,Superfondo Renta $,20.976.546,4.784.752,100367.55,3113.31
2020-09-18T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,161.674,35565.13,1738.1
2020-09-18T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.617.585,35565.13,1738.1
2020-09-18T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.514.794,363116.58,23116.58
2020-09-18T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.525.304,363116.58,23116.58
2020-09-18T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,6.361.342,1100.44,-299.56
2020-09-18T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,6.610.956,1100.44,-299.56
2020-09-18T03:00:00.000Z,,Superfondo Renta $,20.976.546,4.779.155,100250.15,2995.91
2020-09-18T03:00:00.000Z,,Superfondo Renta $,20.976.546,4.784.752,100250.15,2995.91
2020-08-20T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.592.747,35037.33,1210.3
2020-08-20T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.350.371,356104.69,16104.69
2020-08-20T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.704.113,1332.73,-67.27
2020-08-20T03:00:00.000Z,,Superfondo Renta $,111.428.287,4.702.383,52397.84,2071.21
2020-08-19T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.591.914,35019.01,1191.98
2020-08-19T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,834.644,355937.06,15937.06
2020-08-19T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.545.887,1305.36,-94.64
2020-08-19T03:00:00.000Z,,Superfondo Renta $,111.428.287,4.647.012,51780.85,1454.22
2020-08-13T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.587.026,34911.48,1084.45
2020-08-13T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,830.621,354221.43,14221.43
2020-08-13T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,7.816.051,1352.09,-47.91
2020-08-13T03:00:00.000Z,,Superfondo Renta $,111.428.287,4.763.112,53074.53,2747.9
2020-08-12T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.586.217,34893.69,1066.66
2020-08-12T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.295.719,353774.04,13774.04
2020-08-12T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.729.897,8.092.967,1400,0
2020-08-12T03:00:00.000Z,,Superfondo Renta $,111.428.287,4.805.098,53542.38,3215.75
2020-08-11T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.585.409,34875.91,1048.88
2020-08-11T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.292.994,353657.84,13657.84
2020-08-11T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,1.686.465,8.301.386,1400,0
2020-08-11T03:00:00.000Z,,Superfondo Renta $,111.428.287,4.790.479,53379.47,3052.84
2020-08-07T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.582.218,34805.71,978.68
2020-08-07T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.280.317,353117.22,13117.22
2020-08-07T03:00:00.000Z,,Superfondo Renta $,111.428.287,476.905,53140.7,2814.07
2020-08-05T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,158.142,34770.36,943.33
2020-08-05T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.273.595,352590.08,12590.08
2020-08-05T03:00:00.000Z,,Superfondo Renta $,111.428.287,4.734.398,52395.53,2068.9
2020-08-03T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.577.417,34700.1,873.07
2020-08-03T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.248.893,351777.13,11777.13
2020-08-03T03:00:00.000Z,,Superfondo Renta $,111.428.287,4.619.321,51472.29,1145.66
2020-07-31T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.576.619,34682.55,855.52
2020-07-31T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.237.304,351282.92,11282.92
2020-07-31T03:00:00.000Z,,Superfondo Renta $,111.428.287,4.568.911,50910.59,583.96
2020-07-30T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,219.980.558,1.576.619,34665.17,838.14
2020-07-30T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.237.304,350838.09,10838.09
2020-07-30T03:00:00.000Z,,Superfondo Renta $,111.428.287,4.568.911,50352.97,26.34
2020-07-27T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,53.743.503,157.184,84476.18,1833.29
2020-07-27T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.206.413,349965.55,9965.55
2020-07-27T03:00:00.000Z,,Superfondo Renta $,781.132,4.471.524,349.28,22.65
2020-07-24T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,53.743.503,157.184,84433.35,1790.46
2020-07-24T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.201.671,349763.32,9763.32
2020-07-24T03:00:00.000Z,,Superfondo Renta $,781.132,4.471.524,349.17,22.54
2020-07-21T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,53.743.503,1.569.455,84305.39,1662.5
2020-07-21T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.187.121,348790.35,8790.35
2020-07-21T03:00:00.000Z,,Superfondo Renta $,781.132,4.407.492,342.02,15.39
2020-07-20T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,53.743.503,156.631,84136.31,1493.42
2020-07-20T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42.645.377,8.169.383,348072.45,8072.45
2020-07-20T03:00:00.000Z,,Superfondo Renta $,781.132,4.381.581,339.17,12.54